id_solicitacao,idade,renda_mensal,tempo_emprego_meses,score_bureau,divida_renda,historico_atraso_12m,consultas_bureau_6m,valor_solicitado,num_parcelas,possui_imovel,tempo_relacionamento_banco_meses,canal,regiao,inadimplente
76,39,6300.86,81,485,0.438,0,1,25486.57,36,0,43,Correspondente,Sudeste,0
77,44,4520.68,54,482,0.501,1,3,20323.1,48,0,169,App,Norte,0
78,33,5239.0,3,653,0.473,0,2,19701.63,24,0,0,App,Sudeste,0
79,19,4691.15,2,530,0.303,0,2,40478.24,24,0,6,App,Sudeste,0
80,34,6320.85,80,692,0.117,1,0,37405.66,48,0,12,Agência,Sul,0
81,56,8301.05,5,530,0.111,0,2,34235.67,36,0,27,App,Nordeste,0
82,25,2252.01,42,648,0.17,1,1,13682.49,12,1,90,Agência,Centro-Oeste,0
83,34,2445.89,19,510,0.242,1,1,4005.68,36,0,26,App,Sul,0
84,45,2487.75,49,633,0.349,0,1,5437.49,24,0,6,App,Sul,1
85,27,16227.18,10,748,0.178,0,0,92729.96,60,1,49,App,Sul,0
86,44,5055.21,66,697,0.246,0,1,21193.97,24,0,2,App,Centro-Oeste,0
87,39,2679.75,42,495,0.53,0,2,14217.95,12,0,138,App,Sudeste,0
88,36,2488.97,7,583,0.559,0,0,18032.31,36,1,108,App,Sudeste,1
89,20,2432.22,35,689,0.603,0,3,8676.98,48,0,33,Agência,Sudeste,0
90,51,3677.35,1,651,0.473,1,1,23350.11,36,1,38,App,Sudeste,0
91,62,4358.41,30,600,0.322,1,0,7888.42,48,1,0,App,Sudeste,0
92,29,4816.72,66,638,0.341,1,1,38974.49,24,0,97,App,Nordeste,0
93,47,3778.65,1,540,0.25,0,1,8784.73,36,0,29,App,Sudeste,0
94,30,2060.71,16,752,0.203,0,1,10083.55,48,0,5,Agência,Sul,0
95,51,2417.81,22,619,0.209,0,4,11697.94,60,0,9,App,Norte,0
96,25,2995.9,42,622,0.219,0,1,22532.45,36,0,25,App,Nordeste,0
97,25,3562.64,17,696,0.34,0,2,19208.41,48,1,5,Correspondente,Nordeste,0
98,29,3637.59,32,573,0.387,0,1,20111.25,36,1,37,Agência,Sudeste,0
99,73,2647.35,35,475,0.146,1,1,19906.64,12,0,53,Agência,Nordeste,0
100,31,3004.92,8,807,0.524,0,0,17096.31,36,1,65,Agência,Nordeste,0
101,41,4474.1,10,651,0.042,0,2,13329.35,24,0,67,Correspondente,Sul,0
102,38,4168.75,30,783,0.443,1,1,36459.02,12,0,143,App,Sul,0
103,24,4352.71,25,684,0.03,1,0,7464.76,48,0,8,Correspondente,Nordeste,0
104,23,2763.6,12,496,0.454,0,2,19224.46,36,0,35,Correspondente,Nordeste,1
105,41,4009.45,52,557,0.384,1,2,9405.66,36,1,24,App,Sudeste,0
106,33,3212.79,42,599,0.088,0,1,14627.93,48,0,40,App,Sudeste,0
107,69,3541.72,14,622,0.284,0,2,25720.33,12,0,72,Agência,Sul,0
108,47,3462.2,17,801,0.375,0,2,11136.23,36,1,20,App,Norte,0
109,32,2515.43,17,562,0.343,0,1,9304.64,36,1,12,App,Sul,0
110,43,1494.49,26,724,0.349,1,0,5617.71,60,0,19,App,Nordeste,0
111,46,1585.46,1,702,0.273,0,3,4127.1,24,0,8,Agência,Centro-Oeste,0
112,43,3127.16,96,678,0.303,0,1,21854.65,24,1,4,Agência,Centro-Oeste,0
113,49,7580.63,2,652,0.484,0,1,57698.49,12,1,73,App,Sul,0
114,18,8359.73,7,746,0.04,1,0,45122.24,48,0,6,Agência,Sul,0
115,38,2926.46,14,545,0.423,0,0,5746.84,48,0,13,Agência,Nordeste,0
116,25,1947.28,54,765,0.361,1,2,10906.71,48,0,8,Agência,Sul,0
117,19,2444.69,17,696,0.385,1,1,4103.06,12,1,49,Agência,Sudeste,0
118,57,1372.15,15,577,0.426,2,0,7152.14,12,0,3,App,Norte,0
119,39,4078.8,6,658,0.267,0,0,8796.26,36,1,20,App,Nordeste,0
120,42,2164.98,25,625,0.186,0,1,13253.56,36,0,17,App,Norte,1
121,59,4927.55,71,687,0.123,0,4,17371.89,60,0,78,Agência,Sudeste,0
122,30,2301.76,43,733,0.267,1,3,12175.5,36,0,17,App,Nordeste,0
123,41,3568.75,59,648,0.179,0,3,29411.79,12,1,4,Agência,Sudeste,0
124,41,3365.45,24,664,0.182,2,3,6508.18,36,0,15,Correspondente,Sudeste,1
125,39,1200.0,20,715,0.163,0,1,8642.22,24,0,9,App,Sudeste,0
126,18,4884.89,13,624,0.304,0,2,28699.21,48,1,16,App,Nordeste,0
127,45,4287.21,9,526,0.218,0,4,16172.04,24,0,9,Agência,Nordeste,0
128,29,3512.45,3,590,0.304,0,0,12798.13,36,0,26,App,Nordeste,0
129,30,3605.43,37,672,0.811,2,1,15251.28,48,0,25,App,Sul,0
130,39,6030.18,27,685,0.292,1,2,27546.6,36,1,259,Agência,Sudeste,0
131,29,9160.76,39,686,0.323,0,0,64903.2,48,0,24,Agência,Norte,0
132,51,1200.0,75,678,0.696,0,1,6002.15,12,0,127,App,Centro-Oeste,0
133,50,4795.18,10,646,0.441,2,0,23111.8,48,0,29,App,Sul,0
134,18,1632.15,3,712,0.122,1,3,4273.42,24,0,14,Agência,Sul,0
135,40,1845.7,4,738,0.218,0,0,8227.89,48,1,0,Agência,Sul,0
136,37,2676.09,44,466,0.055,0,1,20374.92,24,1,52,Agência,Sudeste,1
137,42,4564.87,157,845,0.197,1,4,26492.04,24,0,3,Correspondente,Norte,0
138,45,1588.77,34,761,0.126,0,0,6213.28,24,0,83,Correspondente,Nordeste,0
139,40,15999.49,2,654,0.18,1,1,103626.95,24,1,45,Agência,Sudeste,0
140,35,2661.34,29,698,0.196,1,1,18279.02,12,0,50,Agência,Sudeste,0
141,25,5505.55,13,501,0.204,1,1,38374.51,24,1,11,Agência,Nordeste,1
142,31,7902.49,79,667,0.056,1,2,63339.7,36,0,48,Agência,Centro-Oeste,0
143,21,8179.46,11,815,0.47,0,1,36599.17,12,0,64,Agência,Nordeste,0
144,29,3736.21,22,586,0.261,2,0,12131.84,60,0,42,Agência,Nordeste,0
145,34,5315.12,90,819,0.411,0,2,46745.31,36,0,8,App,Nordeste,0
146,18,2934.08,31,679,0.188,2,0,5349.62,12,0,53,App,Sudeste,0
147,42,4243.93,129,676,0.297,0,0,30534.83,60,1,109,Agência,Nordeste,0
148,42,2750.27,49,649,0.132,0,2,5265.12,36,0,69,App,Sudeste,0
149,38,2989.97,56,713,0.43,0,0,7801.9,48,1,2,App,Sudeste,0
150,42,1892.97,14,599,0.273,1,2,6894.72,12,0,12,Correspondente,Sudeste,0
151,24,2324.57,73,614,0.598,0,0,12626.92,60,1,1,Agência,Nordeste,0
152,18,1877.2,13,589,0.302,1,1,14554.02,24,0,15,Agência,Sul,0
153,59,8488.83,48,666,0.367,0,1,55595.23,36,1,122,App,Centro-Oeste,0
154,55,3422.06,22,743,0.313,0,2,22959.65,12,0,39,Correspondente,Norte,0
155,37,4488.99,3,589,0.206,1,0,26290.27,48,0,253,Agência,Sul,0
156,44,2549.6,45,817,0.25,0,0,20493.05,36,0,7,App,Nordeste,0
157,53,3300.28,101,555,0.057,0,0,6147.92,36,1,2,Correspondente,Nordeste,0
158,49,2048.73,35,707,0.311,0,0,15664.16,36,0,98,App,Sudeste,0
159,30,4330.22,15,546,0.28,0,2,22348.85,12,0,6,Agência,Nordeste,0
160,45,4300.81,21,691,0.15,0,1,18827.36,24,1,18,Agência,Nordeste,0
161,37,4029.03,51,667,0.166,0,2,14679.31,36,1,17,App,Sul,0
162,38,3293.88,1,747,0.315,0,0,21035.51,36,0,76,App,Sudeste,0
163,58,2876.42,106,640,0.051,0,1,19674.02,24,0,92,App,Sudeste,0
164,38,3282.65,70,638,0.455,0,1,27821.5,24,0,82,Correspondente,Nordeste,0
165,54,2087.78,245,599,0.116,0,0,8896.93,36,0,21,Agência,Sudeste,0
166,59,1718.18,10,590,0.488,0,2,8294.16,36,1,44,Agência,Nordeste,0
167,31,3674.5,73,664,0.168,0,1,7651.49,24,0,37,Correspondente,Nordeste,0
168,37,6883.64,29,723,0.106,0,2,34282.54,48,1,9,Agência,Sul,0
169,24,3052.99,46,671,0.135,1,1,5433.37,48,0,13,App,Centro-Oeste,0
170,27,1543.98,35,671,0.118,0,2,11592.04,24,1,37,Correspondente,Sul,0
171,47,4175.35,88,601,0.416,2,3,11932.9,48,0,161,Correspondente,Nordeste,1
172,36,4578.8,50,733,0.148,0,0,14509.57,36,1,27,Correspondente,Nordeste,0
173,48,4010.93,2,695,0.128,0,1,22660.31,36,1,2,App,Sudeste,0
174,28,9965.89,80,715,0.14,1,0,88877.53,36,1,25,Agência,Sudeste,0
175,44,3387.44,40,648,0.109,2,1,23903.49,12,1,13,App,Sudeste,0
176,48,3495.75,5,616,0.418,2,0,28452.65,24,1,5,Agência,Nordeste,0
177,38,3413.76,100,683,0.128,0,1,5775.68,60,1,133,App,Sudeste,0
178,34,2815.45,39,624,0.452,0,0,4578.49,12,0,31,Agência,Sul,0
179,59,2236.38,0,610,0.122,0,0,14190.87,48,0,49,Agência,Nordeste,0
180,42,2833.25,20,769,0.122,0,1,24318.09,24,0,3,App,Norte,0
181,36,2587.79,87,651,0.161,0,2,8065.07,12,1,4,Agência,Sul,0
182,53,4440.01,41,690,0.628,0,1,34181.31,36,1,1,App,Nordeste,0
183,61,4600.96,55,505,0.623,0,2,22279.86,36,1,19,App,Sudeste,0
184,46,8614.94,40,545,0.586,0,0,66443.45,24,1,100,App,Sudeste,0
185,36,3691.08,254,587,0.139,1,1,8435.94,48,1,5,App,Norte,0
186,50,1542.67,26,593,0.174,2,2,7314.8,24,0,1,Correspondente,Norte,0
187,27,2619.26,2,764,0.142,1,0,22029.63,24,0,1,Correspondente,Centro-Oeste,0
188,39,2592.98,47,662,0.464,1,3,13494.45,36,0,176,Correspondente,Norte,0
189,47,2774.75,168,506,0.17,0,1,4636.75,12,0,3,App,Sudeste,0
190,23,7128.85,17,708,0.48,0,0,16003.08,48,1,27,Agência,Centro-Oeste,0
191,41,2979.1,29,742,0.356,0,1,13722.87,24,1,41,App,Norte,0
192,36,4171.73,5,682,0.519,0,1,8033.81,48,0,28,Agência,Nordeste,0
193,26,12879.74,1,726,0.105,0,3,79525.71,48,0,94,App,Sul,0
194,35,1220.49,17,645,0.708,2,2,9310.92,36,1,14,App,Sudeste,0
195,48,3240.06,29,667,0.216,0,2,15486.0,36,1,3,Agência,Nordeste,0
196,45,1622.4,83,759,0.45,0,0,8157.55,36,0,40,Correspondente,Sudeste,0
197,37,5657.42,11,716,0.205,0,1,19526.51,48,1,13,App,Sudeste,0
198,26,2502.54,17,653,0.977,0,1,16138.16,36,0,40,App,Sudeste,0
199,25,4431.58,14,569,0.118,0,0,24381.4,12,0,8,App,Sudeste,0
200,26,7070.18,128,659,0.154,0,3,60769.82,36,0,77,App,Sudeste,0
201,36,7552.81,61,651,0.274,1,0,42276.36,36,0,133,App,Sudeste,0
202,18,1838.25,6,612,0.117,0,1,12876.33,48,0,120,App,Sul,0
203,32,3621.39,17,579,0.265,2,1,17108.34,48,0,27,App,Sudeste,0
204,44,3182.4,26,625,0.094,0,0,17410.68,48,0,87,App,Centro-Oeste,0
205,33,3340.39,80,688,0.154,1,2,28077.04,36,0,26,App,Sul,1
206,41,1846.53,42,698,0.393,0,2,9358.9,36,0,20,App,Sul,0
207,57,5069.61,17,566,0.677,1,2,34156.2,36,0,6,Correspondente,Sudeste,0
208,40,3975.88,6,563,0.407,0,1,12585.48,60,1,11,App,Nordeste,0
209,18,4483.05,90,801,0.24,0,0,27686.88,36,0,9,App,Nordeste,0
210,43,6773.94,104,686,0.24,0,1,16097.17,36,1,0,App,Sudeste,0
211,32,3836.92,47,739,0.141,1,0,27976.3,48,0,12,Agência,Norte,0
212,47,3696.02,54,595,0.431,0,0,11723.13,36,0,0,App,Sudeste,0
213,35,8581.37,17,727,0.667,0,2,67610.04,48,1,7,App,Sul,0
214,45,3633.2,45,757,0.494,0,0,19203.59,12,0,7,App,Sudeste,0
215,34,5226.64,33,696,0.569,0,0,38664.54,36,0,36,Agência,Sul,0
216,41,3579.66,45,641,0.295,0,1,18374.98,24,0,11,App,Norte,0
217,32,2317.08,56,615,0.121,0,3,3513.75,24,0,74,Agência,Nordeste,0
218,40,1726.09,60,711,0.43,0,0,9805.6,24,0,18,App,Sudeste,0
219,38,1928.76,50,405,0.194,0,0,15971.83,36,1,48,App,Sudeste,0
220,31,2975.18,3,784,0.299,0,3,24125.53,48,0,21,Correspondente,Centro-Oeste,0
221,26,5705.97,43,730,0.224,0,1,41065.84,12,0,138,App,Sul,0
222,30,1297.89,20,699,0.465,0,0,3550.39,48,0,31,Agência,Nordeste,0
223,50,2253.87,8,575,0.112,1,1,18583.7,36,0,55,Agência,Sudeste,0
224,48,4980.83,2,679,0.162,0,2,38835.18,36,1,16,Agência,Centro-Oeste,0
225,51,3182.93,102,661,0.169,1,0,23293.96,48,0,5,App,Nordeste,0
226,22,2807.89,168,741,0.54,0,0,6531.95,24,0,12,Agência,Sudeste,0
227,26,3641.59,53,623,0.341,0,3,15104.77,36,0,18,App,Norte,0
228,34,4067.56,33,769,0.54,0,1,10825.03,24,1,45,Agência,Nordeste,0
229,18,2767.64,22,595,0.047,1,0,17981.83,36,1,105,Agência,Sudeste,0
230,33,2855.03,35,502,0.139,1,0,23486.64,24,0,30,App,Sudeste,0
231,21,4778.82,15,602,0.248,1,3,11680.66,36,0,8,Agência,Sul,0
232,41,3245.04,22,725,0.453,1,2,17545.1,36,1,20,App,Sudeste,0
233,27,2210.12,34,769,0.119,0,0,15800.79,48,1,136,Correspondente,Sudeste,0
234,56,5916.63,8,638,0.194,0,0,29269.85,24,0,4,Agência,Nordeste,0
235,41,3743.35,90,568,0.073,0,0,11636.68,36,0,4,App,Sudeste,0
236,43,3325.49,49,736,0.201,0,0,29216.82,24,0,171,App,Sul,0
237,37,4992.23,79,803,0.367,1,0,27131.96,48,1,22,Correspondente,Nordeste,0
238,22,1839.06,27,582,0.382,0,1,15822.12,12,0,80,Agência,Sudeste,0
239,39,1200.0,65,550,0.596,1,0,7529.59,24,0,13,App,Norte,0
240,42,4002.65,0,736,0.371,0,0,27045.91,36,0,4,App,Nordeste,0
241,26,11326.11,26,710,0.115,0,2,52648.68,36,1,6,App,Sul,0
242,32,3137.78,21,647,0.452,0,1,25720.81,36,0,8,Agência,Nordeste,0
243,38,2427.45,48,730,0.252,0,0,11801.43,48,0,26,Correspondente,Sudeste,0
244,26,1352.2,75,716,0.109,0,0,2772.6,36,0,70,Agência,Sudeste,0
245,32,3300.65,75,719,0.42,0,2,18785.61,24,1,14,App,Sul,0
246,48,3937.64,72,666,0.58,3,1,9961.36,60,1,12,Agência,Sul,0
247,37,4106.18,13,567,0.481,0,1,10852.21,60,0,21,Agência,Sudeste,0
248,57,2943.72,17,715,0.815,1,1,15039.45,24,1,7,Agência,Sul,0
249,44,3634.4,2,653,0.37,0,0,21645.99,36,0,18,Agência,Sudeste,0
250,28,1644.65,50,681,0.14,1,3,13512.56,48,0,10,App,Nordeste,0
251,26,4453.88,10,490,0.224,0,0,38767.15,24,0,31,Correspondente,Sudeste,0
252,47,4541.91,4,797,0.143,0,4,12304.48,24,0,14,App,Nordeste,0
253,54,3665.65,2,590,0.408,2,2,24392.5,60,0,45,App,Sudeste,0
254,52,2158.09,83,591,0.249,0,1,15105.77,12,0,47,App,Sudeste,0
255,27,2904.01,100,593,0.531,1,0,25481.78,24,0,53,Correspondente,Sudeste,0
256,33,5464.3,18,627,0.058,0,1,21718.22,24,0,18,Agência,Nordeste,0
257,45,1999.13,70,680,0.195,0,0,3228.97,24,0,0,App,Sudeste,0
258,45,2972.89,29,473,0.088,1,2,21558.62,36,0,16,App,Sudeste,0
259,28,7761.09,3,640,0.322,0,2,34367.3,36,0,3,Agência,Sul,0
260,46,6960.68,14,693,0.228,0,1,45809.27,36,0,6,Correspondente,Sudeste,0
261,30,7111.68,3,563,0.283,0,0,40892.02,48,1,71,Agência,Sul,0
262,18,5171.24,12,610,0.39,0,2,27118.84,60,0,22,Agência,Norte,0
263,43,7932.9,46,563,0.351,1,1,31981.07,36,0,20,Agência,Sul,0
264,34,3182.56,151,505,0.344,0,1,14819.92,48,0,19,Agência,Sudeste,0
265,40,6091.98,150,718,0.372,0,0,52611.51,48,0,55,App,Sul,0
266,31,2688.54,118,524,0.686,0,1,11666.04,12,1,21,Agência,Sudeste,0
267,52,6608.13,40,564,0.21,1,0,26496.86,36,1,2,App,Sudeste,0
268,18,3446.87,147,712,0.034,0,0,12473.86,24,0,18,App,Nordeste,0
269,23,1614.25,3,754,0.063,0,2,12050.65,36,0,39,App,Sudeste,0
270,55,2927.25,26,524,0.169,1,1,6270.31,12,1,17,Correspondente,Nordeste,0
271,30,5466.32,49,497,0.417,0,1,9678.45,60,1,32,App,Norte,1
272,30,2719.11,30,654,0.451,0,2,6045.29,12,0,14,App,Sudeste,1
273,35,3699.0,65,535,0.392,0,0,31076.93,48,1,15,App,Centro-Oeste,0
274,51,7952.6,84,707,0.397,0,0,60050.26,60,1,39,App,Norte,1
275,38,2401.82,20,694,0.357,0,0,5969.52,48,0,8,Correspondente,Sudeste,0
276,45,6936.4,1,818,0.446,0,1,11661.96,36,0,20,App,Nordeste,0
277,39,1905.67,0,490,0.687,2,1,11727.58,36,0,35,Agência,Sul,0
278,25,4316.32,1,771,0.602,0,0,17947.64,36,1,34,Agência,Sudeste,0
279,52,8120.22,27,829,0.243,1,0,64840.68,24,1,11,App,Nordeste,0
280,59,3135.39,111,739,0.21,0,0,13913.47,36,0,10,App,Nordeste,0
281,31,1685.55,6,698,0.072,0,2,3013.22,36,0,62,Agência,Sudeste,0
282,42,2199.74,67,473,0.464,0,2,5273.95,36,1,17,App,Sudeste,0
283,48,5154.04,22,687,0.452,0,0,20462.5,24,0,82,Agência,Sudeste,0
284,24,2194.54,50,639,0.175,0,2,12948.18,24,0,87,App,Nordeste,0
285,45,5143.86,32,814,0.135,0,0,36942.81,48,0,6,App,Sul,0
286,52,4557.29,1,766,0.182,0,0,38377.08,24,1,4,App,Norte,0
287,34,2308.45,61,585,0.333,1,0,3918.82,24,0,27,Agência,Centro-Oeste,0
288,60,3036.39,24,673,0.608,1,3,4838.63,24,0,80,App,Sul,0
289,41,3546.1,33,571,0.578,1,0,20170.43,36,0,4,App,Sudeste,0
290,50,4822.01,107,850,0.528,0,1,34568.59,12,0,13,Correspondente,Norte,0
291,34,7771.6,13,562,0.48,1,1,56489.29,24,1,24,App,Sudeste,0
292,46,6844.65,44,789,0.516,0,1,60348.3,12,0,16,Agência,Sul,0
293,18,8452.51,28,645,0.141,0,0,49811.5,48,1,67,Agência,Sudeste,0
294,45,7344.57,22,567,0.164,1,1,25826.15,48,0,42,App,Sul,0
295,24,3393.41,34,747,0.242,0,3,29028.54,36,0,20,App,Sul,0
296,37,2281.02,5,683,0.448,1,0,3930.1,48,0,74,App,Nordeste,0
297,23,1611.14,21,570,0.268,1,2,8651.28,24,1,47,Correspondente,Sul,0
298,36,4852.99,9,850,0.326,1,1,13387.42,36,1,94,App,Sudeste,0
299,21,8790.7,3,606,0.167,0,1,43794.87,60,1,10,App,Sudeste,0
300,23,1210.06,14,656,0.063,1,0,10844.32,36,1,15,App,Norte,0
301,42,2177.36,19,654,0.413,1,1,10315.58,12,1,78,Agência,Sul,0
302,49,1792.83,85,626,0.509,2,0,7000.06,12,0,60,App,Sudeste,0
303,23,14140.68,36,746,0.375,0,2,52755.25,36,0,2,App,Sul,0
304,63,2550.38,6,713,0.196,0,0,19897.34,48,1,36,Agência,Norte,0
305,46,4023.21,84,790,0.267,1,1,8469.71,48,0,4,Agência,Sudeste,0
306,43,2978.04,8,609,0.15,0,2,10590.43,12,0,8,Agência,Sul,0
307,40,2377.32,100,800,0.549,1,3,6893.9,12,1,6,App,Sul,0
308,40,7539.05,15,778,0.193,2,0,67408.35,12,0,12,Correspondente,Nordeste,0
309,40,2621.65,6,643,0.331,1,2,5384.83,36,0,3,Agência,Sudeste,0
310,43,5968.81,17,613,0.491,1,2,10716.68,36,0,25,Agência,Sul,0
311,46,4041.97,15,591,0.567,0,4,17506.69,36,0,39,Agência,Sudeste,0
312,34,7746.08,1,720,0.469,0,3,68043.78,24,0,4,App,Sudeste,0
313,44,3380.44,41,558,0.115,1,0,10401.33,24,0,29,App,Sudeste,0
314,36,1297.62,17,635,0.337,1,1,2426.36,12,0,68,Agência,Centro-Oeste,0
315,27,3065.21,22,650,0.189,0,0,11936.24,36,1,18,App,Sudeste,0
316,50,2813.88,11,789,0.478,0,0,7186.73,36,1,31,Correspondente,Sudeste,0
317,41,3561.6,60,631,0.061,0,0,17047.12,12,0,19,Agência,Nordeste,0
318,54,5091.65,45,626,0.227,0,0,35262.41,12,0,79,App,Sudeste,0
319,46,3096.87,64,558,0.48,0,0,26287.93,48,0,14,Agência,Centro-Oeste,0
320,47,3884.31,16,633,0.727,0,0,33131.43,24,0,85,App,Nordeste,0
